faq_id,question,answer
F01,배송은 얼마나 걸리나요?,"평균 1~3일 소요되며, 도서산간 지역은 1~2일 추가됩니다."
F02,교환/반품은 어떻게 하나요?,수령 후 7일 이내 마이페이지>주문내역에서 신청 가능합니다.
F03,환불은 언제 처리되나요?,반품 상품 회수 확인 후 3영업일 이내 결제수단으로 환불됩니다.
F04,회원 등급 혜택이 궁금해요.,실버/골드/VIP 등급별로 적립률과 무료배송 혜택이 다릅니다.
F05,무료배송 기준이 있나요?,"3만원 이상 구매 시 무료배송이며, 제주/도서산간은 추가비가 있습니다."
F06,적립금은 어떻게 사용하나요?,결제 시 1원 단위로 사용 가능하며 보유 적립금 내에서 차감됩니다.
F07,주문 취소는 어디서 하나요?,배송 준비 전까지 주문내역에서 직접 취소할 수 있습니다.
F08,재고가 없는 상품은 언제 들어오나요?,재입고 알림 신청 시 입고되는 즉시 알림을 보내드립니다.
F09,세금계산서 발행이 되나요?,사업자 회원은 주문 시 세금계산서 발행을 신청할 수 있습니다.
F10,비회원도 주문할 수 있나요?,비회원 주문이 가능하나 적립/등급 혜택은 제공되지 않습니다.
