faq_id,question,answer
F01,배송은 얼마나 걸리나요?,평균 배송 기간은 결제 완료 후 1~3영업일입니다.
F02,환불은 언제 처리되나요?,반품 상품이 물류센터에 도착한 후 영업일 기준 3일 이내 환불됩니다.
F03,주문 취소는 어떻게 하나요?,상품 준비 전에는 마이페이지에서 직접 취소할 수 있습니다.
F04,교환은 어떻게 신청하나요?,마이페이지의 주문 상세 화면에서 교환을 신청할 수 있습니다.
F05,배송비는 누가 부담하나요?,단순 변심 반품의 왕복 배송비는 고객이 부담합니다.
F06,회원 등급 혜택은 무엇인가요?,구매 금액에 따라 할인 쿠폰과 적립금 혜택이 제공됩니다.
F07,비밀번호를 잊어버렸어요.,로그인 화면의 비밀번호 찾기에서 재설정할 수 있습니다.
F08,상품이 파손되어 왔어요.,사진을 첨부해 고객센터에 접수하면 무상 교환됩니다.
F09,적립금은 언제 지급되나요?,구매 확정 후 다음 날 적립금이 지급됩니다.
F10,현금영수증 발급이 가능한가요?,결제 단계에서 현금영수증 발급 정보를 입력할 수 있습니다.
