review_id,product_id,product_name,customer_id,rating,review_text,review_date
R00001,P0027,승승 단백질 쉐이크 2kg,C0085,4,튼튼하고 오래 쓸 것 같아요,2025-06-13
R00002,P0033,스포라이프 요가매트 10mm,C0197,4,배송이 정말 빨라요,2024-02-05
R00003,P0039,북하우스 어린이 그림책 10권,C0184,5,디자인이 예뻐요,2025-12-31
R00004,P0027,승승 단백질 쉐이크 2kg,C0079,2,생각보다 별로예요,2025-11-04
R00005,P0019,뷰티풀 수분 진정 토너 300ml,C0048,3,특별할 건 없네요,2024-09-20
R00006,P0036,스포라이프 러닝화 클라우드,C0150,2,설명과 색이 달라요,2025-01-11
R00007,P0030,리빙 대용량 식기건조대,C0144,5,배송이 정말 빨라요,2025-07-24
R00008,P0022,뷰티풀 콜라겐 수분크림,C0029,1,생각보다 별로예요,2026-01-11
R00009,P0025,승승 현미 잡곡 10kg,C0061,2,박스가 찌그러져 왔어요,2025-08-29
R00010,P0024,승승 유기농 견과류 믹스 1kg,C0135,2,설명과 색이 달라요,2024-02-08
R00011,P0024,승승 유기농 견과류 믹스 1kg,C0054,5,디자인이 예뻐요,2025-07-26
R00012,P0005,승승 USB-C 멀티허브 7in1,C0068,5,튼튼하고 오래 쓸 것 같아요,2025-10-13
R00013,P0032,리빙 스테인리스 텀블러 500ml,C0025,4,가성비 최고입니다,2024-03-10
R00014,P0017,승승 베이직 무지 티셔츠 3팩,C0107,4,재구매 의사 있어요,2025-11-22
R00015,P0027,승승 단백질 쉐이크 2kg,C0072,4,선물용으로 좋아요,2024-10-02
R00016,P0020,뷰티풀 비타민C 세럼 30ml,C0033,4,배송이 정말 빨라요,2024-06-29
R00017,P0005,승승 USB-C 멀티허브 7in1,C0022,4,튼튼하고 오래 쓸 것 같아요,2025-11-21
R00018,P0006,승승 기계식 게이밍 키보드,C0156,5,배송이 정말 빨라요,2026-01-31
R00019,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0130,3,무난합니다,2025-02-13
R00020,P0022,뷰티풀 콜라겐 수분크림,C0119,5,선물용으로 좋아요,2025-08-30
R00021,P0022,뷰티풀 콜라겐 수분크림,C0022,4,선물용으로 좋아요,2026-02-07
R00022,P0031,리빙 친환경 주방세제 리필 5L,C0013,5,배송이 정말 빨라요,2025-02-25
R00023,P0020,뷰티풀 비타민C 세럼 30ml,C0133,3,특별할 건 없네요,2025-04-05
R00024,P0027,승승 단백질 쉐이크 2kg,C0123,5,튼튼하고 오래 쓸 것 같아요,2024-02-18
R00025,P0021,뷰티풀 자외선차단 선크림 SPF50,C0085,5,재구매 의사 있어요,2024-01-20
R00026,P0001,승승 무선 블루투스 이어버드 SE,C0005,5,선물용으로 좋아요,2024-10-31
R00027,P0011,장구 에어프라이어 5.5L,C0037,5,튼튼하고 오래 쓸 것 같아요,2024-11-08
R00028,P0010,장구 공기청정기 미세 30평형,C0116,5,선물용으로 좋아요,2024-08-23
R00029,P0034,스포라이프 조절식 덤벨 24kg,C0026,5,품질이 기대 이상이에요,2024-05-17
R00030,P0021,뷰티풀 자외선차단 선크림 SPF50,C0107,4,배송이 정말 빨라요,2026-04-26
R00031,P0038,북하우스 코딩 입문 자습서,C0082,4,튼튼하고 오래 쓸 것 같아요,2025-10-28
R00032,P0004,승승 고속충전 보조배터리 20000mAh,C0037,4,튼튼하고 오래 쓸 것 같아요,2024-03-22
R00033,P0013,장구 전기포트 1.7L 온도조절,C0046,4,가성비 최고입니다,2024-11-12
R00034,P0007,승승 4K 웹캠 스트리머,C0184,5,선물용으로 좋아요,2024-08-30
R00035,P0036,스포라이프 러닝화 클라우드,C0168,4,품질이 기대 이상이에요,2025-06-20
R00036,P0039,북하우스 어린이 그림책 10권,C0198,5,선물용으로 좋아요,2025-05-30
R00037,P0038,북하우스 코딩 입문 자습서,C0095,3,보통이에요,2026-03-28
