en,ko
hello,안녕하세요
hi,안녕
hey,안녕
thank you,감사합니다
thanks,고마워요
thank you very much,정말 감사합니다
good morning,좋은 아침입니다
good afternoon,좋은 오후입니다
good evening,좋은 저녁입니다
good night,잘 자요
goodbye,안녕히 가세요
see you,또 봐요
see you again,다시 만나요
see you tomorrow,내일 봐요
see you later,나중에 봐요
welcome,환영합니다
i love you,사랑합니다
i like you,나는 당신을 좋아합니다
i miss you,보고 싶습니다
i am a student,나는 학생입니다
i am a teacher,나는 선생님입니다
i am a doctor,나는 의사입니다
i am a programmer,나는 프로그래머입니다
i am happy,나는 행복합니다
i am sad,나는 슬픕니다
i am hungry,나는 배고픕니다
i am thirsty,나는 목이 마릅니다
i am tired,나는 피곤합니다
i am busy,나는 바쁩니다
i am fine,저는 잘 지냅니다
i am okay,저는 괜찮습니다
i am sorry,미안합니다
i am ready,나는 준비되었습니다
i am cold,나는 춥습니다
i am hot,나는 덥습니다
i am sleepy,나는 졸립니다
what is your name,이름이 무엇인가요
my name is minsu,제 이름은 민수입니다
my name is jia,제 이름은 지아입니다
nice to meet you,만나서 반갑습니다
how are you,어떻게 지내세요
how have you been,그동안 어떻게 지냈어요
where are you from,어디에서 왔나요
i am from korea,나는 한국에서 왔습니다
i am from america,나는 미국에서 왔습니다
where are you going,어디에 가세요
i am going home,나는 집에 갑니다
i am going to school,나는 학교에 갑니다
i am going to work,나는 일하러 갑니다
what are you doing,무엇을 하고 있나요
i am studying,나는 공부하고 있습니다
i am working,나는 일하고 있습니다
i am eating,나는 먹고 있습니다
i am resting,나는 쉬고 있습니다
i study python,나는 파이썬을 공부합니다
i study english,나는 영어를 공부합니다
i study korean,나는 한국어를 공부합니다
i study math,나는 수학을 공부합니다
i like coffee,나는 커피를 좋아합니다
i like tea,나는 차를 좋아합니다
i like music,나는 음악을 좋아합니다
i like movies,나는 영화를 좋아합니다
i like books,나는 책을 좋아합니다
i like sports,나는 운동을 좋아합니다
i like travel,나는 여행을 좋아합니다
i do not like coffee,나는 커피를 좋아하지 않습니다
i want water,물을 원합니다
i want coffee,커피를 원합니다
i want to sleep,나는 자고 싶습니다
i want to eat,나는 먹고 싶습니다
i want to rest,나는 쉬고 싶습니다
i want to learn,나는 배우고 싶습니다
this is a book,이것은 책입니다
this is a pen,이것은 펜입니다
this is a chair,이것은 의자입니다
this is my computer,이것은 내 컴퓨터입니다
this is my phone,이것은 내 전화기입니다
this is my house,이것은 내 집입니다
that is a car,저것은 자동차입니다
that is a tree,저것은 나무입니다
please help me,도와주세요
please wait,기다려 주세요
please come here,이리 와 주세요
please sit down,앉아 주세요
please speak slowly,천천히 말해 주세요
please say it again,다시 말해 주세요
open the door,문을 열어 주세요
close the door,문을 닫아 주세요
open the window,창문을 열어 주세요
close the window,창문을 닫아 주세요
turn on the light,불을 켜 주세요
turn off the light,불을 꺼 주세요
have a good day,좋은 하루 보내세요
have a nice weekend,좋은 주말 보내세요
take care,몸조심하세요
good luck,행운을 빕니다
congratulations,축하합니다
i do not know,잘 모르겠습니다
i know,나는 압니다
i understand,이해합니다
i do not understand,이해하지 못합니다
i agree,동의합니다
i think so,그렇게 생각합니다
english is difficult,영어는 어렵습니다
english is fun,영어는 재미있습니다
korean is interesting,한국어는 재미있습니다
korean is difficult,한국어는 어렵습니다
math is hard,수학은 어렵습니다
this book is good,이 책은 좋습니다
this food is delicious,이 음식은 맛있습니다
the weather is nice,날씨가 좋습니다
where is the station,역은 어디에 있나요
where is the bathroom,화장실은 어디에 있나요
where is the hospital,병원은 어디에 있나요
where is the restaurant,식당은 어디에 있나요
how much is this,이것은 얼마인가요
what time is it,지금 몇 시인가요
what day is it today,오늘은 무슨 요일인가요
it is raining,비가 오고 있습니다
it is snowing,눈이 오고 있습니다
it is sunny,날씨가 맑습니다
it is cold today,오늘은 춥습니다
it is hot today,오늘은 덥습니다
today is monday,오늘은 월요일입니다
today is friday,오늘은 금요일입니다
i have a question,질문이 있습니다
i have an idea,좋은 생각이 있습니다
let us go,갑시다
let us eat,먹읍시다
let us start,시작합시다
be careful,조심하세요
do not worry,걱정하지 마세요
no problem,문제없습니다
of course,물론입니다
yes,네
no,아니요
maybe,아마도요
i will call you,전화할게요
call me later,나중에 전화해 주세요
i am learning python,나는 파이썬을 배우고 있습니다
i love my family,나는 내 가족을 사랑합니다
i love this city,나는 이 도시를 사랑합니다
this is very important,이것은 매우 중요합니다
i am very tired today,나는 오늘 매우 피곤합니다
